2017-12-27,8600
2017-12-27,9408
2018-01-03,6600
2018-01-15,6600
2018-01-15,7600
2018-02-01,10600
2018-02-18,9250
2018-04-02,7447
2018-04-23,7500
2018-05-14,9900
2018-05-23,7950
2018-05-24,8088
2018-05-28,10250
2018-06-01,7875
2018-06-13,9892
2018-06-17,10750
2018-06-21,10900
2018-06-25,9990
2018-06-30,10600
2018-07-09,9425
2018-07-15,7100
2018-07-17,7380
2018-07-18,7380
2018-07-27,7500
2018-08-02,7450
2018-08-03,7625
2018-08-08,7200
2018-08-09,7500
2018-08-09,7850
2018-08-10,8051
2018-08-12,6750
2018-08-21,11000
2018-08-25,14275
2018-08-25,14900
2018-08-27,17625
2018-08-28,8700
2018-09-01,7500
2018-09-01,7200
2018-09-12,7000
2018-09-14,7500
2018-09-21,7700
2018-09-21,7750
2018-09-24,4575
2018-09-24,6950
2018-09-24,6650
2018-09-27,7700
2018-09-28,4033
2018-10-01,10400
2018-10-01,10750
2018-10-03,7600
2018-10-05,10550
2018-10-05,11275
2018-10-05,11000
2018-10-05,11477
2018-10-06,8100
2018-10-07,10250
2018-10-07,11000
2018-10-08,8100
2018-10-16,11300
2018-10-17,10950
2018-10-17,11398
2018-10-18,7500
2018-10-18,7400
2018-10-19,11500
2018-10-23,7200
2018-10-23,7800
2018-10-30,10800
2018-11-03,13900
2018-11-06,15269
2018-11-14,8000
2018-11-15,10825
2018-11-17,8210
2018-11-18,10545
2018-11-18,8400
2018-11-19,7120
2018-11-19,7527
2018-11-23,4087
2018-11-24,11100
2018-11-24,6990
2018-11-25,6999
2018-11-25,7399
2018-11-25,10000
2018-11-25,11200
2018-11-26,10100
2018-11-26,6600
2018-11-26,11380
2018-11-26,10550
2018-11-26,11000
2018-11-27,7800
2018-11-27,11400
2018-11-28,4150
2018-11-30,11500
2018-11-30,10800
2018-12-01,10800
2018-12-07,11500
2018-12-08,7750
2018-12-14,11000
2018-12-16,10800
2018-12-19,8300
2018-12-20,11200
2018-12-22,7500
2018-12-23,7900
2019-01-02,10750
2019-01-03,11100
2019-01-03,7300
2019-01-05,10750
2019-01-13,11200
2019-01-15,11200
2019-01-18,7500
2019-01-22,7700
2019-01-23,6900
2019-01-25,13800
2019-01-26,7299
2019-01-26,7999
2019-01-28,7830
2019-01-29,8500
2019-01-30,13500
2019-01-31,11850
2019-01-31,12750
2019-02-01,6800
2019-02-01,7650
2019-02-02,7100
2019-02-05,7895
2019-02-06,12995
2019-02-10,15500
2019-02-15,6800
2019-02-16,6400
2019-02-16,6999
2019-02-17,12400
2019-02-17,7500
2019-02-18,7850
2019-02-18,8299
2019-02-26,7800
2019-02-26,8500
2019-03-04,7800
2019-03-06,7601
2019-03-06,7400
2019-03-06,8050
2019-03-17,4850
2019-03-18,7650
2019-03-18,8300
2019-03-18,16950
2019-03-18,13000
2019-03-20,7900
2019-03-20,8900
2019-03-21,8200
2019-03-21,8888
2019-03-22,12500
2019-03-22,13400
2019-03-22,4087
2019-03-23,8500
2019-03-23,9000
2019-03-27,9500
2019-03-27,7555
2019-03-28,7700
2019-03-29,7950
2019-03-31,14200
2019-03-31,13920
2019-03-31,14299
2019-04-03,13300
2019-04-03,14400
2019-04-06,7700
2019-04-06,8250
2019-04-09,13000
2019-04-09,13900
2019-04-12,14750
2019-04-15,7550
2019-04-15,8300
2019-04-17,8999
2019-04-22,4140
2019-04-22,7400
2019-04-24,7300
2019-04-26,14100
2019-04-26,14700
2019-04-26,7700
2019-04-28,7850
2019-04-30,7900
2019-04-30,14101
2019-04-30,7050
2019-04-30,8200
2019-05-07,7450
2019-05-08,14501
2019-05-08,15450
2019-05-08,8200
2019-05-08,14626
2019-05-08,15600
2019-05-15,10300
2019-05-20,12601
2019-05-20,13700
2019-05-22,7150
2019-05-22,6625
2019-05-22,9500
2019-05-22,9200
2019-05-23,12500
2019-05-24,8100
2019-05-28,15000
2019-05-28,16075
2019-05-29,9301
2019-05-29,10450
2019-06-04,12900
2019-06-05,8300
2019-06-06,8720
2019-06-06,9000
2019-06-07,14800
2019-06-10,10700
2019-06-13,8000
2019-06-14,16000
2019-06-15,14800
2019-06-17,15250
2019-06-19,7501
2019-06-21,9500
2019-06-21,11000
2019-06-21,14200
2019-06-21,16500
2019-06-22,7475
2019-06-27,10054
2019-07-01,8200
2019-07-01,9050
2019-07-02,13600
2019-07-02,14500
2019-07-03,9075
2019-07-09,15699
2019-07-10,7450
2019-07-11,15801
2019-07-11,16290
2019-07-13,15800
2019-07-16,14250
2019-07-16,16400
2019-07-19,13500
2019-07-21,15935
2019-07-21,16450
2019-07-21,15250
2019-07-24,8488
2019-07-29,16950
2019-07-30,14350
2019-07-30,15200
2019-08-03,14200
2019-08-05,8000
2019-08-05,8450
2019-08-08,9800
2019-08-09,9750
2019-08-11,9700
2019-08-13,14500
2019-08-20,8100
2019-08-20,8800
2019-08-23,9726
2019-08-23,11200
2019-08-24,7777
2019-08-24,8500
2019-08-26,14420
2019-08-26,14900
2019-08-26,15497
2019-08-26,14000
2019-08-26,15500
2019-08-27,8950
2019-08-29,9300
2019-08-30,16000
2019-08-30,16990
2019-08-30,14200
